year,ytd_tmean,ytd_precip
1972,7.904243892634859,137.942772705244
1973,9.312831918700931,172.3729538588971
1974,7.539784778268338,168.3130106438793
1975,9.297877933592545,154.6764913588096
1976,9.242773898081744,168.8401712517042
1977,9.22891694082116,175.38652835683993
1978,8.095388662894143,167.76052069526892
1979,8.466090625267656,168.38207890678322
1980,9.51204346702152,159.29495575044794
1981,8.881194443589651,166.77642619863752
1982,8.577873017847708,152.51002428142888
1983,7.9085637792672925,163.2050079485449
1984,8.789266513434074,195.347458741745
1985,8.695741229796406,158.3159516816418
1986,8.491543229660985,169.48745096750483
1987,9.325576276581717,160.43167550681397
1988,9.173648225714606,175.31685266250057
1989,9.406904361495485,158.44551400223273
1990,8.622227124787097,166.69098930302553
1991,9.770837993431424,162.69326775673218
1992,7.71519023013415,151.48932433711784
1993,9.13605407948402,175.4741969833457
1994,9.19903883566929,172.480488673542
1995,10.289105681474075,138.4950023758806
1996,8.22202682272371,161.73916168601548
1997,8.183385996083132,180.74746738140513
1998,11.223888055582714,148.95830637285798
1999,9.572180943982918,184.82938333767714
2000,7.791048116911211,182.61208510567158
2001,9.256723946608346,175.53726527680953
2002,7.672875822772976,158.1258392530603
2003,9.151938929975007,157.47436777442016
2004,7.370160106426927,161.81091969957555
2005,9.643510678449575,168.77365061093923
2006,10.740050709910424,164.58943496142209
2007,9.098976857276357,165.86619683415543
2008,9.141059957361026,172.14439598731806
2009,7.580303815376903,161.22198213130275
2010,9.586861256970717,160.2245399648402
2011,9.21738931582538,167.68728449486886
2012,10.286100667766434,168.53924834817835
2013,9.969732420168029,152.85494690248498
2014,9.801395636150046,170.9351747553031
2015,10.037067016027988,151.335335143268
2016,10.218313972450433,178.96164583212146
2017,9.72309810806585,181.31558580107978
2018,9.316092453803304,165.08742203857662
2019,8.877525996181719,160.30909136916662
2020,8.74684440753457,182.60205802000453
2021,9.810079010527124,155.57080668634953
2022,9.524837296288739,184.07154627584066
2023,12.353234707989031,142.89632194113028
2024,10.411368802250875,181.4574552142194
2025,10.069954274060114,157.9654891834674
2026,10.310335053522923,160.07631111500064
